post_id,user_id,text,created_at,topic,keyword,group,source_type
mP6R0KJaCb,u1OVUQVY3,"中央纪委应介入调查,还真相//@uB5FAZYIH： 有道理 //@uRUHUYAX：  放假两天认真仔细研究了相关各方的公开指控与说法，无论真假，都够得上刑法伺候了——若潘庄秀华通过媒体与微博指控为真，则李文学等有罪且罪不止一宗；若指控为假，则正如李文学声明所言，潘涉嫌诽谤。双方这两日言行可视作公开举报对方违法犯",2012-01-03 08:32:00,反腐,中央纪委,opinion_leader,opinion_leader_df
mpbg8tV6g7,uHJXOVYQQ,【历史上的今天】各位早安！历史上的1月4日:1、1917-1-4，蔡元培就任北京大学校长，提出了“兼容并包”的办学方针，“大学者，‘囊括大典、网罗众家’之学府也；2、1935-1-4，红军突破乌江天险；3、1979-1-4，反腐利器——中央纪委成立！ ,2012-01-04 06:00:05,反腐,中央纪委,opinion_leader,opinion_leader_df
mGvPcKfnQT,uKPKZF04C,#历史上的今天#中央纪委成立：中纪委是中共中央纪律检查委员会，由中国共产党的全国代表大会选举产生，是中共最高纪律检查机关。1979年1月4日，中纪委举行第一次全体会议。会议讨论并拟定了关于党内政治生活的一系列准则，讨论和通过了中纪委工作任务、职权范围等规定。 http://t.cn/SilKEv,2012-01-04 09:19:36,反腐,中央纪委,opinion_leader,opinion_leader_df
mZwlxHERgi,uBK1PT2TK,#即时播报#4日从中央纪委获悉，据不完全统计，2011年全国共受理反映违反换届纪律问题的举报846件、查实52件、处理73人。CNTV陈柏屹编辑报道 ,2012-01-04 22:26:03,反腐,中央纪委,opinion_leader,opinion_leader_df
mGvPwEyHu6,uKB5RXOXT,【中纪委：2011年全国73名干部因违反换届纪律受处理】记者4日从中央纪委获悉，据不完全统计，2011年全国共受理反映违反换届纪律问题的举报846件、查实52件、处理73人。http://t.cn/Si165o,2012-01-05 08:40:32,反腐,中央纪委,opinion_leader,opinion_leader_df
mEmoIPmQPm,uVEQQ31XS,中央纪委近日召开全国廉政公益广告创意征集活动总结表彰会议，对获奖单位和作品进行表彰，我省选送的4件廉政公益广告作品中，省广播电视台创作的《守护承诺》获一等奖，株洲市纪委宣教室创作的《走好人生路》、张家界市广电局创作的《标尺》获二等奖，省广播电视台创作的《和谐天秤》获三等奖。,2012-01-05 09:54:29,反腐,中央纪委,opinion_leader,opinion_leader_df
m3e5YppG0C,uPA3CVMX0,发表了博文 《加快转变经济发展方式监督检查关涉全局》 - 　　为促进中央关于加快转变经济发展方式各项政策措施贯彻落实，2011年以来，中央纪委监察部在全国部署开展了加快转变经济发展方式监督检查。在党中 http://t.cn/S6zixT,2012-01-05 10:21:27,反腐,中央纪委,opinion_leader,opinion_leader_df
mpGChIsjHP,uJ2OAZMQT,【新年贺词】2012年到来之际，中央政治局常委、中央纪委书记贺国强发表致全体纪检监察干部和广大党员干部新年贺词。http://t.cn/S6MUqN,2012-01-05 22:43:49,反腐,中央纪委,opinion_leader,opinion_leader_df
mqUTjrAOu6,uYC31BXLX,【中纪委:正调查刘志军违法案件】中央纪委查处的张家盟等大案要案，已移送司法机关处理；目前调查的还有刘志军等案件。 http://t.cn/S6HRHi ,2012-01-06 20:22:49,反腐,中央纪委,opinion_leader,opinion_leader_df
m3e5OsdoTU,uQHCQP5OT,【中纪委：反腐败必须做好打持久战思想准备】1月6日，中央纪委监察部召开纪检监察机关查办案件工作情况新闻通气会。中央纪委秘书长、新闻发言人崔少鹏表示，反腐败斗争将是贯穿于改革开放全过程的长期历史任务，必须做好打持久战的思想准备，不能急于求成，不能期望速战速决、毕其功于一役。（新华网）,2012-01-06 20:33:22,反腐,中央纪委,opinion_leader,opinion_leader_df
